"","OBJECTID","Sum08","Sum09","Sum11","Sum12","Sum14","Diff"
"35","Whitney Young Memoria Brg (East Capitol St)",19,15,32,3,18,-0.0526315789473684
"11","Chain Bridge",109,124,154,211,114,0.0458715596330275
"18","Garfield St",31,29,64,60,40,0.290322580645161
"27","Porter St",83,59,94,92,109,0.313253012048193
"31","Rock Creek & Potomac Pky",250,103,0,128,335,0.34
"3","13th St",234,316,209,290,347,0.482905982905983
"7","Arlington Memorial Bridge",544,748,943,903,831,0.527573529411765
"34","Water St",1163,1517,1584,1587,1912,0.64402407566638
"19","George Mason Brg (14th St Bridge)",798,1171,1611,1459,1323,0.657894736842105
"21","L St",324,334,349,396,555,0.712962962962963
"15","Francis Scott Key Bridge",809,856,1057,1111,1431,0.76885043263288
"10","Calvert St (Ellington Bridge)",346,430,614,516,625,0.80635838150289
"17","Gallatin St",6,9,10,22,11,0.833333333333333
"25","New Hampshire Ave",490,550,840,821,938,0.914285714285714
"33","Theodore Roosevelt Memorial Brg",191,275,0,316,368,0.926701570680628
"23","Massachusetts Ave",57,112,115,130,120,1.10526315789474
"6","3rd St",75,34,88,174,171,1.28
"13","E St",164,246,188,379,388,1.36585365853659
"4","14th St",696,1154,1568,1703,1704,1.44827586206897
"30","Rhode Island Ave",54,56,80,82,136,1.51851851851852
"5","18th St",358,556,318,355,915,1.55586592178771
"9","C St",63,80,70,100,162,1.57142857142857
"26","Pennsylvania Ave",301,426,503,749,791,1.62790697674419
"32","Sousa Bridge (Pennsylvania Ave)",49,59,0,77,134,1.73469387755102
"12","Constitution Ave",249,356,534,503,694,1.78714859437751
"14","East Capitol St",199,220,350,593,645,2.24120603015075
"8","Benning Bridge",37,63,0,114,129,2.48648648648649
"28","Q St",79,97,190,177,289,2.65822784810127
"1","11th St",327,445,1148,1103,1332,3.07339449541284
"2","11th St Brg",29,42,0,28,119,3.10344827586207
"20","Kansas Ave",62,102,100,166,262,3.2258064516129
"16","Frederick Douglass Memorial Brg (South Capitol St)",60,79,53,263,256,3.26666666666667
"22","Marvin Gaye Trail",3,2,0,31,15,4
"24","Monroe St",36,63,146,265,189,4.25
"29","R St",142,195,306,333,767,4.40140845070423
